transaction_id,customer_id,age,account_balance,transaction_amount,transaction_type,merchant_category,device_type,transaction_location,is_foreign_transaction,failed_attempts_last_24h,avg_transaction_amount,transaction_frequency_24h,amount_deviation,is_fraud
TXN17,CUST1640,60,122106,1833.06,UPI,Grocery,Mobile,Nigeria,0,4,4675,9,2841.94,1
TXN18,CUST1362,20,130892,2398.73,Online,Grocery,Web,UK,1,2,3054,8,655.27,0
TXN19,CUST403,19,318551,3992.99,ATM,Electronics,Mobile,UK,1,5,3364,5,628.99,1
TXN20,CUST167,21,200950,414.24,Online,Grocery,Web,UK,1,0,1300,6,885.76,0
TXN21,CUST725,35,48142,2711.98,POS,Restaurant,Mobile,USA,0,0,1750,7,961.98,0
TXN22,CUST1588,20,44361,1298.66,UPI,Electronics,Web,Nigeria,0,5,1143,4,155.66,1
TXN23,CUST827,48,332772,1849.15,ATM,Travel,Mobile,USA,0,0,2981,2,1131.85,0
TXN24,CUST1738,48,77623,2285.62,Online,Grocery,Mobile,Nigeria,1,2,3503,3,1217.38,0
TXN25,CUST1960,61,369717,5541.5,ATM,Restaurant,Web,USA,1,3,3217,4,2324.5,0
TXN26,CUST1361,51,152649,1093.27,POS,Travel,Mobile,Nigeria,1,4,770,7,323.27,1
TXN27,CUST517,39,428378,1492.89,UPI,Restaurant,Mobile,USA,0,2,1557,5,64.11,0
TXN28,CUST1105,41,450215,1264.42,ATM,Grocery,Mobile,USA,1,3,932,5,332.42,0
TXN29,CUST1027,39,325213,7803.56,UPI,Restaurant,Web,India,0,3,4028,1,3775.56,0
TXN30,CUST1903,19,277427,1773.04,ATM,Grocery,Mobile,UK,1,2,943,5,830.04,0
TXN31,CUST438,50,102185,5485.68,UPI,Restaurant,Mobile,UK,0,3,2690,8,2795.68,0
TXN32,CUST960,19,348650,715.86,POS,Grocery,Web,USA,1,4,1302,2,586.14,1
TXN33,CUST1839,46,69488,2620.6,POS,Electronics,Mobile,USA,1,0,1921,1,699.6,0
TXN34,CUST1685,51,137277,183.16,Online,Restaurant,Web,India,0,5,1075,8,891.84,1
TXN35,CUST1701,23,255688,4947.3,POS,Restaurant,Mobile,USA,1,5,4133,2,814.3,1
TXN36,CUST1362,63,303865,2499.49,Online,Grocery,Web,UK,1,2,2368,9,131.49,0
TXN37,CUST530,40,154246,1631.37,POS,Restaurant,Web,Nigeria,0,5,1291,4,340.37,1
TXN38,CUST474,62,344982,2864.0,ATM,Restaurant,Mobile,Nigeria,0,2,2400,9,464.0,0
TXN39,CUST242,49,117456,1946.11,Online,Travel,Web,UK,0,3,4328,1,2381.89,0
TXN40,CUST220,67,400403,1496.99,Online,Electronics,Mobile,UK,1,2,2138,7,641.01,0
TXN41,CUST299,42,429738,8179.43,UPI,Travel,Web,Nigeria,0,2,4590,10,3589.43,0
TXN42,CUST1743,53,350746,4385.72,Online,Restaurant,Mobile,UK,0,5,2179,2,2206.72,1
TXN43,CUST811,70,438330,2312.71,UPI,Restaurant,Web,India,0,1,3669,1,1356.29,0
TXN44,CUST1932,32,131900,1467.93,UPI,Electronics,Web,India,0,3,1171,5,296.93,0
TXN45,CUST1659,51,435457,3236.36,ATM,Restaurant,Mobile,USA,1,1,2366,7,870.36,0
TXN46,CUST470,59,402995,954.39,UPI,Restaurant,Web,UK,0,3,2126,4,1171.61,0
TXN47,CUST479,28,289498,2497.41,Online,Restaurant,Web,UK,0,4,2519,8,21.59,1
TXN48,CUST433,28,34301,2474.39,POS,Grocery,Web,USA,1,3,2634,6,159.61,0
TXN49,CUST967,69,52564,125.39,ATM,Electronics,Mobile,India,0,0,3020,3,2894.61,0
TXN50,CUST1307,23,47208,6814.15,UPI,Travel,Mobile,USA,0,0,4499,9,2315.15,0
TXN51,CUST1934,47,89000,5537.02,POS,Travel,Mobile,USA,0,3,3629,9,1908.02,0
TXN52,CUST1260,61,252090,863.63,UPI,Travel,Mobile,UK,1,1,652,7,211.63,0
TXN53,CUST777,39,477076,2842.48,POS,Grocery,Mobile,UK,0,0,2452,2,390.48,0
TXN54,CUST189,23,329789,4702.29,ATM,Restaurant,Mobile,UK,0,4,3728,6,974.29,1
TXN55,CUST1383,41,126724,1609.25,POS,Travel,Web,Nigeria,0,4,1100,7,509.25,1
TXN56,CUST664,58,493300,661.18,POS,Grocery,Mobile,India,0,2,631,9,30.18,0
TXN57,CUST1425,23,246460,1746.8,UPI,Restaurant,Web,Nigeria,1,2,1834,5,87.2,0
TXN58,CUST551,43,195021,2217.07,UPI,Electronics,Mobile,UK,1,3,2541,10,323.93,0
TXN59,CUST1103,70,208324,2068.56,ATM,Travel,Web,USA,1,4,2315,8,246.44,1
TXN60,CUST1396,35,22080,694.23,ATM,Restaurant,Web,USA,0,4,3166,3,2471.77,1
TXN61,CUST1411,28,454481,4076.12,Online,Restaurant,Web,Nigeria,1,1,4960,9,883.88,0
TXN62,CUST511,34,377041,351.01,Online,Grocery,Mobile,Nigeria,0,2,724,5,372.99,0
TXN63,CUST1421,33,60187,684.92,Online,Travel,Mobile,UK,0,0,1684,8,999.08,0
TXN64,CUST1139,30,349628,474.08,POS,Travel,Mobile,India,1,3,1053,9,578.92,0
TXN65,CUST1731,18,457483,5201.01,Online,Electronics,Mobile,India,1,3,4073,5,1128.01,0
TXN66,CUST1571,44,254453,385.92,UPI,Travel,Mobile,UK,0,1,4779,8,4393.08,0
TXN67,CUST266,29,320673,1945.39,POS,Restaurant,Mobile,UK,1,5,2844,3,898.61,1
TXN68,CUST80,31,421048,3201.93,POS,Restaurant,Mobile,USA,0,4,2300,2,901.93,1
TXN69,CUST225,31,392165,1473.21,POS,Travel,Mobile,USA,1,5,1867,3,393.79,1
TXN70,CUST1976,25,434227,6796.38,POS,Grocery,Web,India,0,4,4305,4,2491.38,1
TXN71,CUST339,23,177486,5412.57,POS,Grocery,Web,Nigeria,1,0,3645,9,1767.57,0
TXN72,CUST1310,25,417817,646.17,UPI,Grocery,Web,UK,1,5,1524,8,877.83,1
TXN73,CUST1660,68,95874,4072.06,ATM,Travel,Web,UK,0,4,4833,2,760.94,1
TXN74,CUST1236,52,225813,1387.13,ATM,Electronics,Web,UK,1,3,1722,2,334.87,0
TXN75,CUST1318,65,385805,661.94,ATM,Electronics,Mobile,USA,1,3,797,6,135.06,0
TXN76,CUST1071,27,85614,3778.18,UPI,Grocery,Mobile,UK,0,0,3523,1,255.18,0
TXN77,CUST128,39,491217,1455.84,ATM,Electronics,Mobile,UK,0,1,921,10,534.84,0
TXN78,CUST491,31,464700,4971.69,POS,Electronics,Mobile,UK,1,4,3558,5,1413.69,1
TXN79,CUST1658,65,299659,1776.15,Online,Travel,Web,Nigeria,1,3,3340,9,1563.85,0
TXN80,CUST1789,66,217750,1298.04,UPI,Travel,Mobile,USA,1,4,1335,2,36.96,1
TXN81,CUST1417,54,272556,3351.02,Online,Restaurant,Web,Nigeria,1,1,1737,7,1614.02,0
TXN82,CUST1792,62,308316,8930.52,POS,Restaurant,Mobile,UK,0,4,4840,7,4090.52,1
TXN83,CUST890,52,358836,2634.92,POS,Electronics,Mobile,Nigeria,1,4,3953,8,1318.08,1
TXN84,CUST1940,46,242524,4040.16,Online,Travel,Mobile,Nigeria,0,3,2810,5,1230.16,0
TXN85,CUST1183,39,338459,346.03,POS,Grocery,Web,UK,0,4,1253,7,906.97,1
TXN86,CUST1888,40,311051,513.39,ATM,Grocery,Mobile,Nigeria,1,4,510,6,3.39,1
TXN87,CUST432,68,439794,2391.26,POS,Travel,Mobile,India,0,4,2717,8,325.74,1
TXN88,CUST1930,29,197675,4015.37,ATM,Travel,Web,India,0,1,3079,2,936.37,0
TXN89,CUST1393,66,135708,1048.31,Online,Grocery,Web,India,0,1,3366,7,2317.69,0
TXN90,CUST1326,38,446021,1124.65,UPI,Travel,Mobile,UK,1,0,841,5,283.65,0
TXN91,CUST691,52,293619,3129.71,POS,Electronics,Mobile,India,0,3,3968,1,838.29,0
TXN92,CUST606,66,451252,5065.57,UPI,Restaurant,Mobile,India,0,4,4941,7,124.57,1
TXN93,CUST799,31,351743,1031.75,UPI,Travel,Mobile,India,1,0,738,10,293.75,0
TXN94,CUST1966,23,247618,1431.69,Online,Travel,Mobile,USA,1,5,3753,3,2321.31,1
TXN95,CUST918,37,261214,4633.82,POS,Restaurant,Web,Nigeria,0,4,3673,2,960.82,1
TXN96,CUST1465,31,22456,1439.36,Online,Electronics,Web,Nigeria,0,5,1168,7,271.36,1
TXN97,CUST841,43,427994,5211.95,Online,Grocery,Mobile,USA,0,0,4704,9,507.95,0
TXN98,CUST773,67,350737,123.94,Online,Travel,Mobile,Nigeria,0,1,1050,1,926.06,0
TXN99,CUST52,65,325783,5059.82,ATM,Grocery,Mobile,USA,0,0,3828,8,1231.82,0
TXN100,CUST309,59,97224,4917.31,POS,Grocery,Mobile,UK,0,3,4556,1,361.31,0
TXN101,CUST296,48,152386,1816.05,ATM,Travel,Mobile,USA,1,2,2292,5,475.95,0
TXN102,CUST1061,55,287098,306.4,POS,Electronics,Mobile,USA,1,0,664,5,357.6,0
TXN103,CUST27,49,365059,970.06,UPI,Restaurant,Mobile,India,1,2,1571,10,600.94,0
TXN104,CUST1824,20,155059,5222.1,POS,Grocery,Mobile,India,0,4,3257,6,1965.1,1
TXN105,CUST1792,56,382076,885.04,ATM,Grocery,Mobile,Nigeria,1,1,844,2,41.04,0
TXN106,CUST1184,70,365716,1764.6,Online,Electronics,Web,UK,0,4,2053,5,288.4,1
TXN107,CUST320,44,124247,519.46,ATM,Electronics,Mobile,Nigeria,1,0,4090,8,3570.54,0
TXN108,CUST641,20,78859,2239.47,Online,Electronics,Web,UK,1,4,1974,7,265.47,1
TXN109,CUST1428,68,68828,2943.12,ATM,Electronics,Mobile,Nigeria,0,0,2001,7,942.12,0
TXN110,CUST556,22,265522,210.31,ATM,Travel,Web,Nigeria,1,1,2396,8,2185.69,0
TXN111,CUST618,43,121018,577.14,ATM,Grocery,Web,Nigeria,1,0,2909,7,2331.86,0
TXN112,CUST1893,47,432554,484.23,UPI,Electronics,Mobile,UK,0,2,3143,2,2658.77,0
TXN113,CUST1188,47,167564,2957.46,UPI,Restaurant,Mobile,India,0,0,3456,4,498.54,0
TXN114,CUST14,38,213548,365.9,POS,Restaurant,Mobile,India,1,1,548,1,182.1,0
TXN115,CUST966,43,383378,616.62,UPI,Grocery,Web,UK,1,4,584,8,32.62,1
TXN116,CUST1917,54,213653,622.95,ATM,Grocery,Web,USA,0,0,937,10,314.05,0
TXN117,CUST44,24,426574,4811.42,UPI,Travel,Mobile,Nigeria,1,1,4342,7,469.42,0
TXN118,CUST1920,21,485747,9152.68,POS,Travel,Web,Nigeria,0,0,4821,10,4331.68,0
TXN119,CUST239,19,299757,6475.43,Online,Restaurant,Web,USA,0,4,4250,7,2225.43,1
TXN120,CUST1914,25,170757,2881.25,Online,Travel,Web,Nigeria,1,1,4467,4,1585.75,0
TXN121,CUST526,40,103331,4211.06,UPI,Electronics,Mobile,UK,0,0,3160,9,1051.06,0
TXN122,CUST1613,31,425663,2046.09,UPI,Grocery,Mobile,Nigeria,0,1,1224,5,822.09,0
TXN123,CUST1856,65,458657,1334.92,UPI,Restaurant,Web,India,1,0,2363,8,1028.08,0
TXN124,CUST1832,19,326338,4394.44,POS,Electronics,Web,India,0,1,2962,1,1432.44,0
TXN125,CUST642,37,486474,5074.92,POS,Grocery,Mobile,Nigeria,0,4,4646,2,428.92,1
TXN126,CUST555,56,386098,904.36,ATM,Travel,Web,India,1,0,3137,5,2232.64,0
TXN127,CUST1276,59,267466,366.38,UPI,Grocery,Web,USA,0,5,1246,10,879.62,1
TXN128,CUST810,65,179103,1326.29,UPI,Electronics,Web,India,0,4,991,1,335.29,1
TXN129,CUST787,45,344346,3805.4,ATM,Restaurant,Web,Nigeria,0,3,2872,4,933.4,0
TXN130,CUST114,24,54520,1409.62,UPI,Electronics,Mobile,USA,0,3,798,5,611.62,0
TXN131,CUST1929,37,476535,519.03,Online,Grocery,Mobile,UK,0,4,2195,8,1675.97,1
TXN132,CUST1191,69,24985,1583.9,ATM,Travel,Mobile,Nigeria,1,2,1438,7,145.9,0
TXN133,CUST974,24,174591,2433.3,ATM,Electronics,Web,India,0,2,1921,9,512.3,0
TXN134,CUST278,24,454081,4555.66,UPI,Travel,Mobile,USA,0,2,4143,10,412.66,0
TXN135,CUST1769,36,58502,539.4,ATM,Restaurant,Mobile,UK,0,4,993,2,453.6,1
TXN136,CUST1321,60,110361,3205.05,ATM,Electronics,Web,Nigeria,0,1,4471,6,1265.95,0
TXN137,CUST1627,70,287678,1755.96,Online,Electronics,Web,India,0,0,1933,3,177.04,0
TXN138,CUST152,29,445011,678.89,ATM,Electronics,Mobile,UK,1,4,648,10,30.89,1
TXN139,CUST1512,49,431800,302.18,UPI,Grocery,Web,UK,0,3,2196,7,1893.82,0
TXN140,CUST629,22,329200,4437.72,ATM,Grocery,Mobile,USA,1,5,4160,5,277.72,1
TXN141,CUST662,65,445023,1022.76,Online,Electronics,Web,USA,1,2,2318,4,1295.24,0
TXN142,CUST141,28,309631,1263.75,Online,Travel,Mobile,USA,1,0,867,8,396.75,0
TXN143,CUST1905,46,326916,3575.69,Online,Restaurant,Web,Nigeria,0,5,3178,9,397.69,1
TXN144,CUST930,48,282124,812.17,POS,Electronics,Mobile,India,1,3,716,3,96.17,0
TXN145,CUST867,25,126992,617.57,ATM,Electronics,Mobile,USA,1,2,507,5,110.57,0
TXN146,CUST1878,37,262753,6511.44,ATM,Electronics,Web,India,1,2,4804,9,1707.44,0
TXN147,CUST1075,57,64832,1288.68,Online,Electronics,Mobile,Nigeria,0,5,689,9,599.68,1
TXN148,CUST1028,55,420849,100.0,POS,Restaurant,Web,UK,1,4,737,7,637.0,1
TXN149,CUST957,33,417305,1430.7,UPI,Electronics,Web,India,0,4,1891,1,460.3,1
TXN150,CUST1877,39,381203,1029.62,POS,Grocery,Mobile,USA,0,3,1097,7,67.38,0
TXN151,CUST450,30,130442,701.7,UPI,Electronics,Mobile,India,0,4,2560,9,1858.3,1
TXN152,CUST1403,39,237891,1422.04,UPI,Electronics,Mobile,India,0,2,2093,6,670.96,0
TXN153,CUST730,64,92588,4998.66,UPI,Travel,Mobile,UK,0,2,3212,6,1786.66,0
TXN154,CUST802,62,64802,1466.81,POS,Restaurant,Web,UK,0,3,2513,7,1046.19,0
TXN155,CUST1145,54,262253,176.2,ATM,Grocery,Web,Nigeria,1,3,602,4,425.8,0
TXN156,CUST606,65,346649,7803.61,ATM,Restaurant,Mobile,India,1,2,4097,7,3706.61,0
TXN157,CUST345,52,89516,2711.6,UPI,Restaurant,Mobile,USA,0,1,1719,1,992.6,0
TXN158,CUST1681,34,146917,580.07,UPI,Grocery,Mobile,Nigeria,1,0,4390,1,3809.93,0
TXN159,CUST152,51,337509,4648.26,UPI,Grocery,Mobile,India,1,2,3913,10,735.26,0
TXN160,CUST322,38,177290,1926.72,ATM,Grocery,Mobile,USA,0,0,1771,7,155.72,0
TXN161,CUST1613,18,126535,2133.65,POS,Electronics,Web,UK,1,3,1895,3,238.65,0
TXN162,CUST854,23,161054,3284.19,Online,Electronics,Web,India,0,4,1865,1,1419.19,1
TXN163,CUST1255,54,363484,301.29,POS,Restaurant,Web,UK,1,4,2620,7,2318.71,1
TXN164,CUST1743,35,184145,2788.02,ATM,Restaurant,Web,USA,1,2,3620,6,831.98,0
TXN165,CUST134,34,418561,3438.54,UPI,Travel,Web,UK,1,1,2361,5,1077.54,0
TXN166,CUST1187,40,267931,2345.5,ATM,Travel,Web,Nigeria,1,5,3009,3,663.5,1
TXN167,CUST1383,54,297298,2269.22,POS,Electronics,Mobile,Nigeria,0,3,2953,8,683.78,0
TXN168,CUST1593,52,190876,3119.48,Online,Restaurant,Mobile,Nigeria,1,3,3576,8,456.52,0
TXN169,CUST768,40,467866,3364.07,ATM,Grocery,Web,USA,1,5,3137,8,227.07,1
TXN170,CUST1852,32,445613,478.63,ATM,Electronics,Mobile,Nigeria,1,2,694,7,215.37,0
TXN171,CUST620,18,95195,4805.69,Online,Travel,Mobile,UK,1,2,2831,2,1974.69,0
TXN172,CUST934,69,391425,618.32,Online,Grocery,Web,India,0,4,746,6,127.68,1
TXN173,CUST454,42,164500,3396.59,UPI,Travel,Mobile,Nigeria,0,0,3967,9,570.41,0
TXN174,CUST1477,38,179117,492.25,Online,Grocery,Mobile,India,0,2,3401,6,2908.75,0
TXN175,CUST9,22,262333,1727.19,ATM,Electronics,Mobile,USA,0,3,3309,1,1581.81,0
TXN176,CUST1581,63,262449,4061.96,ATM,Electronics,Mobile,Nigeria,0,3,3345,2,716.96,0
TXN177,CUST434,31,319385,3673.35,Online,Electronics,Mobile,UK,0,3,2585,10,1088.35,0
TXN178,CUST1717,47,111817,3860.99,ATM,Electronics,Web,Nigeria,1,4,4873,2,1012.01,1
TXN179,CUST535,33,159094,1143.72,UPI,Grocery,Web,UK,0,2,1316,2,172.28,0
TXN180,CUST251,59,34528,815.17,Online,Grocery,Web,India,1,2,716,9,99.17,0
TXN181,CUST1281,67,206014,6872.86,ATM,Travel,Web,India,0,5,3225,1,3647.86,1
TXN182,CUST1602,37,267485,3083.18,ATM,Restaurant,Web,UK,1,2,1906,7,1177.18,0
TXN183,CUST1167,58,499745,1271.87,ATM,Restaurant,Web,Nigeria,1,1,1115,8,156.87,0
TXN184,CUST1531,65,323156,6664.36,ATM,Restaurant,Mobile,USA,1,3,3561,1,3103.36,0
TXN185,CUST523,59,111943,5888.83,ATM,Grocery,Mobile,UK,1,4,4695,1,1193.83,1
TXN186,CUST1874,41,416367,4217.39,Online,Grocery,Web,USA,1,3,3642,2,575.39,0
TXN187,CUST527,64,367519,2693.47,POS,Travel,Web,India,0,0,2289,6,404.47,0
TXN188,CUST1373,23,159055,1459.89,ATM,Travel,Web,USA,1,2,1348,9,111.89,0
TXN189,CUST123,35,170695,4454.06,Online,Electronics,Mobile,India,0,1,4210,10,244.06,0
TXN190,CUST276,39,87678,685.05,UPI,Travel,Web,UK,0,0,1333,4,647.95,0
TXN191,CUST532,21,227566,352.65,POS,Grocery,Web,India,1,2,597,7,244.35,0
TXN192,CUST809,47,417203,2189.18,Online,Grocery,Web,India,1,2,2771,3,581.82,0
TXN193,CUST712,42,351180,3109.56,POS,Travel,Mobile,India,0,5,2954,1,155.56,1
TXN194,CUST200,50,446567,5066.05,UPI,Electronics,Web,USA,0,3,4909,2,157.05,0
TXN195,CUST929,34,96388,2938.46,Online,Electronics,Web,India,0,1,2872,10,66.46,0
TXN196,CUST1326,70,316427,4740.17,UPI,Restaurant,Mobile,USA,1,1,4261,7,479.17,0
TXN197,CUST1372,50,185321,3556.61,Online,Grocery,Mobile,India,1,1,3083,6,473.61,0
TXN198,CUST942,20,292614,4715.51,UPI,Grocery,Web,Nigeria,1,2,4294,7,421.51,0
TXN199,CUST404,28,94003,1209.2,UPI,Electronics,Mobile,USA,0,2,1269,2,59.8,0
TXN200,CUST453,40,160289,5255.57,UPI,Restaurant,Web,India,0,0,3687,3,1568.57,0
TXN201,CUST1904,43,325795,3193.19,POS,Grocery,Web,India,1,1,3559,9,365.81,0
TXN202,CUST1721,19,171756,6296.43,UPI,Grocery,Web,India,0,1,3923,6,2373.43,0
TXN203,CUST1024,35,164953,2226.7,UPI,Restaurant,Web,UK,1,1,3181,10,954.3,0
TXN204,CUST1369,29,455020,1959.87,POS,Grocery,Mobile,USA,1,3,1208,5,751.87,0
TXN205,CUST1390,31,302868,4019.63,UPI,Travel,Web,USA,1,3,4696,6,676.37,0
TXN206,CUST577,27,4534,4942.75,Online,Grocery,Web,India,0,3,2867,2,2075.75,0
TXN207,CUST1808,21,282021,602.88,UPI,Travel,Web,India,0,1,604,6,1.12,0
TXN208,CUST1665,46,312572,218.22,UPI,Grocery,Mobile,India,1,4,3506,10,3287.78,1
TXN209,CUST1320,66,439177,2001.19,ATM,Travel,Web,UK,0,2,3217,9,1215.81,0
TXN210,CUST557,37,8603,813.98,POS,Travel,Web,UK,0,4,1621,3,807.02,1
TXN211,CUST599,54,443016,807.84,POS,Restaurant,Web,UK,1,1,1796,7,988.16,0
TXN212,CUST1942,37,190991,5804.27,POS,Travel,Web,India,1,2,2892,10,2912.27,0
TXN213,CUST719,31,67196,1912.28,POS,Travel,Mobile,Nigeria,0,4,2670,2,757.72,1
TXN214,CUST1465,45,215429,3983.59,UPI,Travel,Web,India,1,2,4417,6,433.41,0
TXN215,CUST241,39,177720,1720.45,POS,Travel,Web,India,1,1,3133,9,1412.55,0
TXN216,CUST1290,20,357032,4660.75,Online,Restaurant,Web,USA,0,1,3217,7,1443.75,0
TXN217,CUST697,43,254802,2533.72,ATM,Restaurant,Web,India,0,2,3513,5,979.28,0
TXN218,CUST124,23,187978,2594.37,ATM,Grocery,Mobile,India,0,2,3659,3,1064.63,0
TXN219,CUST495,35,78701,4656.42,POS,Electronics,Mobile,Nigeria,1,0,3603,1,1053.42,0
TXN220,CUST278,27,424465,2023.96,POS,Restaurant,Web,Nigeria,1,0,1494,2,529.96,0
TXN221,CUST1133,66,392121,2152.23,UPI,Grocery,Web,Nigeria,1,0,1533,3,619.23,0
TXN222,CUST488,22,334526,1054.7,ATM,Restaurant,Web,UK,0,2,633,9,421.7,0
TXN223,CUST1106,47,104474,5184.1,Online,Electronics,Mobile,Nigeria,0,4,3037,2,2147.1,1
TXN224,CUST204,67,316488,4489.42,POS,Travel,Web,India,1,5,3782,4,707.42,1
TXN225,CUST709,26,41405,3925.78,POS,Restaurant,Mobile,UK,1,3,4456,2,530.22,0
TXN226,CUST812,28,437796,566.1,UPI,Grocery,Web,UK,1,3,3708,2,3141.9,0
TXN227,CUST1581,54,273042,2105.93,POS,Electronics,Mobile,Nigeria,1,4,1996,4,109.93,1
TXN228,CUST50,48,333025,4963.79,Online,Restaurant,Mobile,USA,0,1,4494,8,469.79,0
TXN229,CUST792,42,183683,667.09,ATM,Electronics,Web,UK,0,0,745,5,77.91,0
TXN230,CUST1636,39,281160,413.24,UPI,Grocery,Web,UK,1,1,1149,9,735.76,0
TXN231,CUST214,27,329547,390.88,POS,Travel,Mobile,UK,0,2,1086,1,695.12,0
TXN232,CUST883,20,429343,7764.85,POS,Grocery,Web,UK,1,5,4255,2,3509.85,1
TXN233,CUST926,61,470166,3204.56,UPI,Grocery,Web,India,1,1,3048,8,156.56,0
TXN234,CUST578,69,373163,1308.74,POS,Grocery,Mobile,Nigeria,0,0,695,5,613.74,0
TXN235,CUST535,46,164766,5232.8,ATM,Restaurant,Mobile,Nigeria,1,0,3657,5,1575.8,0
TXN236,CUST1550,42,115383,2744.13,POS,Electronics,Mobile,UK,1,0,4689,4,1944.87,0
TXN237,CUST888,55,185249,1244.56,ATM,Restaurant,Web,UK,0,0,1067,4,177.56,0
TXN238,CUST1132,43,335173,1703.35,POS,Grocery,Web,India,1,0,995,9,708.35,0
TXN239,CUST1617,60,73274,1781.24,POS,Restaurant,Mobile,Nigeria,0,0,2200,4,418.76,0
TXN240,CUST407,47,132706,614.18,ATM,Grocery,Web,India,0,2,553,4,61.18,0
TXN241,CUST757,70,169436,2284.38,Online,Electronics,Mobile,USA,1,1,1423,10,861.38,0
TXN242,CUST1789,44,129903,7951.29,ATM,Travel,Mobile,USA,0,5,3816,7,4135.29,1
TXN243,CUST1253,29,466773,130.14,UPI,Travel,Web,India,1,2,4063,4,3932.86,0
TXN244,CUST1566,18,3148,7408.64,Online,Grocery,Web,Nigeria,1,2,4414,3,2994.64,0
TXN245,CUST1000,70,82412,3437.06,UPI,Electronics,Mobile,India,0,5,2583,4,854.06,1
TXN246,CUST442,70,440111,1816.04,POS,Electronics,Web,Nigeria,0,3,1615,6,201.04,0
TXN247,CUST1317,67,312290,2301.25,POS,Electronics,Mobile,Nigeria,1,5,2206,1,95.25,1
TXN248,CUST137,55,70374,4510.34,UPI,Restaurant,Web,UK,0,1,2382,2,2128.34,0
TXN249,CUST1944,61,217196,224.29,UPI,Restaurant,Web,Nigeria,1,1,2143,8,1918.71,0
TXN250,CUST1262,21,127288,3380.51,UPI,Electronics,Web,UK,0,2,3038,4,342.51,0
TXN251,CUST1200,36,403834,1820.23,UPI,Grocery,Mobile,USA,0,5,3968,10,2147.77,1
TXN252,CUST826,43,383019,2457.14,POS,Travel,Mobile,USA,0,3,4558,6,2100.86,0
TXN253,CUST1584,30,281700,2432.97,POS,Electronics,Mobile,UK,1,5,3407,10,974.03,1
TXN254,CUST1555,37,356912,1540.43,ATM,Restaurant,Web,UK,0,0,1025,9,515.43,0
TXN255,CUST1620,26,301634,2347.1,POS,Travel,Web,UK,0,3,1664,5,683.1,0
TXN256,CUST1629,70,184508,1807.03,POS,Grocery,Mobile,Nigeria,0,3,4375,9,2567.97,0
TXN257,CUST31,66,74867,2429.31,Online,Travel,Web,USA,1,4,2622,10,192.69,1
TXN258,CUST1818,61,14726,1917.54,UPI,Travel,Mobile,Nigeria,1,3,4282,7,2364.46,0
TXN259,CUST1827,20,123824,2331.38,UPI,Travel,Mobile,UK,1,3,1844,10,487.38,0
TXN260,CUST109,66,70894,2289.07,POS,Electronics,Mobile,USA,0,0,1801,3,488.07,0
TXN261,CUST353,43,208513,7396.63,ATM,Grocery,Mobile,UK,1,5,4017,6,3379.63,1
TXN262,CUST1336,36,364426,6717.48,POS,Electronics,Web,UK,1,0,4507,1,2210.48,0
TXN263,CUST1583,44,440676,2558.44,POS,Grocery,Web,India,0,2,3475,5,916.56,0
TXN264,CUST651,42,398323,3365.8,UPI,Electronics,Mobile,India,0,1,3971,8,605.2,0
TXN265,CUST1262,59,203924,653.44,Online,Restaurant,Web,UK,0,4,2326,8,1672.56,1
TXN266,CUST905,54,107098,1453.8,ATM,Electronics,Web,UK,0,2,2168,5,714.2,0
